1966.50.1,,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 27, Textile Roll # 25",Spanish,,"Stenciled Leather Rug or Wall Covering, 18th century"
1967.2.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 10B",attributed to Nicolaes Berchem,,"Pastoral Scene, 17th century"
1969.10.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",George Benjamin Luks,,"Miss Francis Lord Seymour, c. 1915"
1969.14.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A","Paul Jenkins, American, 1923 - 2012",,"Phenomena Above Hanks' Mirror, 1969"
1971.4.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Francis Bicknell Carpenter,,"Henry Ward Beecher, 1858"
1971.5.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Barbara Thompson,,"Plowed Field and Trees, 1970"
1971.12.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 11A",Pier Francesco Mola,,"Filosofo con Giovane (Philosopher with Student), c. 1650–1660"
1971.46.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Robert Broderson,,Child Peering Through Arms
1971.49.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Leonard Baskin,,"Profile Portrait of a Turbaned Man, 1961"
1971.57.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54B",Hobson Pittman,,"The Painter, 20th century"
1971.58.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Ernest Lawson,,"Mother and Child, 1897"
1972.25.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23B",John James Masquerier,,"Amy Joan Greatorex, 1809"
1972.26.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23B",John James Masquerier,,"Elizabeth Jane Hinchliffe, 1805"
1972.30.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Rudy Pozzatti,,"Palozzo Florence, 1955"
1972.32.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 02B",Silvia Heyden,,"Omega, 1972"
1972.42.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A","Raimondo Puccinelli, American, 1904 - 1986",,"Seated Woman, n.d."
1973.1.690,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Paracas,,"Shawl with Emboridered Border, 700–200 BCE"
1973.1.695,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 05B",Tiahuanaco,,"Poncho Panel, 700–1000"
1973.1.701,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Tiahuanaco,,"Feather Poncho, 700–1000"
1973.1.702,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Tiahuanaco,,"Pouch, reds, green, blue, and yellow, 700–1000"
