Painting ID,Location,Location Type,Rack,Artist,Title,Height,Width,Depth
1966.50.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 27, Textile Roll # 25",Wall Screen, 27,Spanish,"Stenciled Leather Rug or Wall Covering, 18th century",152.01,88.5,
1967.2.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 10B",Screen, 10B,attributed to Nicolaes Berchem,"Pastoral Scene, 17th century",30.12,41.73,
1969.10.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Screen, 25B,George Benjamin Luks,"Miss Francis Lord Seymour, c. 1915",35.98,25.98,
1969.14.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,"Paul Jenkins, American, 1923 - 2012","Phenomena Above Hanks' Mirror, 1969",72.01,60.0,
1971.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Screen, 25B,Francis Bicknell Carpenter,"Henry Ward Beecher, 1858",34.02,27.01,
1971.5.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Barbara Thompson,"Plowed Field and Trees, 1970",21.26,15.51,
1971.12.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 11A",Screen, 11A,Pier Francesco Mola,"Filosofo con Giovane (Philosopher with Student), c. 1650–1660",37.05,53.07,
1971.46.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Robert Broderson,Child Peering Through Arms,23.5,17.52,
1971.49.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Screen, 59A,Leonard Baskin,"Profile Portrait of a Turbaned Man, 1961",26.5,40.0,
1971.57.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54B",Screen, 54B,Hobson Pittman,"The Painter, 20th century",15.39,11.38,
1971.58.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Screen, 19B,Ernest Lawson,"Mother and Child, 1897",27.52,21.5,
1972.25.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23B",Screen, 23B,John James Masquerier,"Amy Joan Greatorex, 1809",35.51,27.99,
1972.26.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23B",Screen, 23B,John James Masquerier,"Elizabeth Jane Hinchliffe, 1805",35.51,27.99,
1972.30.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Rudy Pozzatti,"Palozzo Florence, 1955",9.17,13.11,
1972.32.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 02B",Screen, 02B,Silvia Heyden,"Omega, 1972",68.5,49.02,
1972.42.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,"Raimondo Puccinelli, American, 1904 - 1986","Seated Woman, n.d.",,,
1973.1.690,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,Paracas,"Shawl with Emboridered Border, 700–200 BCE",73.5,17.52,
1973.1.695,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 05B",Screen, 05B,Tiahuanaco,"Poncho Panel, 700–1000",77.99,32.52,
1973.1.701,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,Tiahuanaco,"Feather Poncho, 700–1000",77.99,30.51,
1973.1.702,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Tiahuanaco,"Pouch, reds, green, blue, and yellow, 700–1000",19.02,9.02,
1973.1.706,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Shaped Bag, 1476–1534",20.98,14.25,
1973.1.711,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 50B",Screen, 50B,Inca,"Panel: red and yellow feathers motif, 1438–1532",43.74,32.99,
1973.1.717,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, South Coast","Carrying Cloth, before 1533",19.02,20.0,
1973.1.718,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Nazca,"Cocoa Pouch with Tassel, 200 BCE–700 CE",24.02,9.25,
1973.1.720,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Nazca,"Cocoa Pouch with Tassel, 200 BCE–700 CE",22.01,7.99,
1973.1.727.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Nazca,"Pouch, 200 BCE–700 CE",,,
1973.1.735,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 50B",Screen, 50B,Chimú,"Sleeved Poncho, 1000–1470",57.01,16.5,
1973.1.738,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Loincloth tie end, 1100–1476",15.98,29.49,
1973.1.739,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Complete Breech Cloth with Bird Pattern, 1000–1470",58.5,15.0,
1973.1.740,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chimú,"Small Tunic, 1100–1534",13.5,14.49,
1973.1.751,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, Central Coast","Backstrap Loom, before 1533",25.0,,
1973.1.752,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,Chancay,"Cloth on Loom with Weaving Tools, 1000–1470",62.52,12.99,
1973.1.753,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Chancay,"Fish Pattern Textile on a Loom, 1000–1470",27.52,19.49,
1973.1.788,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Pouch, strap, black, browns, 1000–1470",9.02,7.99,
1973.1.791.A,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay or Chimú,"Pouch, 1000–1470",16.14,11.81,
1973.1.796,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Tubular belt, birds, and frets, 1000–1470 CE",72.01,,
1973.1.808,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Cloth Fragment: Fisherman on Boat, 1000–1470",14.02,17.01,
1973.1.811,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, Central Coast","Panel, 1460–1532",5.51,11.73,
1973.1.823,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Chancay (Peru, central coast)","Panel, double cloth, birds and cats, brown, 1000–1470",32.99,4.49,
1973.1.854,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chancay,"Textile Fragment on a Loom, 1000–1470",14.02,19.02,
1973.25.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Screen, 59A,Kyohei Inukai,"T.R.F. VI, 1970",37.99,37.99,
1973.26.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 59A",Screen, 59A,Kyohei Inukai,"T.R.F. VII, 1970",37.99,37.99,
1973.48.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63J, Textile Roll # 18",Screen, 63J,Mopti peoples,Tapestry Weave Blanket,90.98,47.01,
1973.80.6,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 18",Wall Screen, 18,Mossi peoples,Mask,55.98,,
1974.38.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Screen, 56B,Walter Benoldi,"Still life, 20th century",35.51,27.76,
1974.38.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Giuseppe Cesetti,"Horses, 20th century",24.02,20.0,
1974.38.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Screen, 56B,Roberto Melli,"Italian Family, 20th century",20.0,25.0,
1974.38.8,"Nasher Museum Building, Nasher Painting Storage Room",,,Sante Monachesi,"Study, 20th century",11.73,15.98,
1974.38.11,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Giovanni Stradone,"Nude, 20th century",11.5,7.52,
1975.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, Ica Valley, South Coast","Burial Mask, 600–400 BCE",,,
1975.17.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 40A",Screen, 40A,Maud Florence Gatewood,"Winter Light, 1973",34.02,35.98,
